Country,City,Name,Link,Logo,Description
Australia,Sydney,Australian Catholic University,https://www.acu.edu.au/,,"Mercy grant, Tamara Myers from History presented a paper and as the incoming president at the Society for the History of Children and Youth 2019 Biennial Confernence"
Australia,Canberra,Australian National University,https://www.anu.edu.au/,,
Australia,Perth,Curtin University,https://www.curtin.edu.au/,,"Topological liquid diode publication,student exchange ,research and collaboration"
Australia,Sydney,Macquarie University,https://www.mq.edu.au/,,
Australia,Melbourne,Monash University,https://www.monash.edu/,,
Australia,Melbourne,University of Melbourne,,,
Australia,Sydney,University of New South Wales,,,
Australia,Newcastle,University of Newcastle,,,
Australia,Brisbane,University of Queensland,,,
Australia,Sydney,University of Sydney,,,
Australia,Wollongong,University of Wollongong,,,
Australia,Crawley ,University Western Australia,,,
Bangladesh,Dhaka,BRAC University,https://www.bracu.ac.bd/,,"exploring effective practice in civil society's organizations,promotion of human rights,social justice ,good governance in India and Bangladesh"
Bangladesh,,University of Dahka,,,
Belgium,Leuven,UNIVERSITY COLLEGE LEUVEN,,,
Brazil,Curitiba,Federal University of Technology,https://www.futa.edu.ng/,,
Brazil,,Sao Paulo State University,http://www.unesp.br/portal#!/english_home/,,
Canada,Halifax,Dalhousie University,https://www.dal.ca/,,"facullty and staff research from Environmental Ssciences,research publication on the intracontiental drift and surface uplift in Mongolia"
Canada,Edmonton,University of Alberta,,,
Canada,Calgary,University of Calgary,,,
Canada,Guelph,University of Guelph,,,
Canada,Ottawa,University of Ottawa,,,
Canada,Toronto,University of Toronto,,,
Canada,Waterloo,University of Waterloo,,,
Canada,London,Western University,,,
China,Beijing,Beihang University,https://ev.buaa.edu.cn/,,"visiting research and undergraduate scholars in Engineering,2017,2018,2019"
China,Beijing,Beijing Jiaotong University,http://en.njtu.edu.cn/,,"research,on-campus engagement,visiting scholar in mechanical engineering in 2017"
China,Beijing,Beijing Normal University,https://english.bnu.edu.cn/,,"stay opportunities,visits,colaboration,research and events{MOU expired}"
China,Beijing,Beijing University of Posts and Telecommunications,http://bupt.admissions.cn/,,"faculty grant for international conections to China 2017,research collaborations,isiting,staying"
China,Changsha,Changsha University of Science and Technology,https://www.csust.edu.cn/ywb/Home.htm,,
China,Wuhan,China University of Geosciences,https://en.cugb.edu.cn/,,Publication: Critical review on the active site structure of sulfated zirconia catalysts and prospects in fuel production
China,Shandong Sheng,China University of Petroleum,https://www.cup.edu.cn/english/,,"research,recognition,staff travel abroad"
China,Hong Kong,City University of Hong Kong,https://www.cityu.edu.hk/,,
China,Dongguan,Dongguan University of Technology,https://www.edu.cn/html/acabridge/jobs/dongguan/index.html,,"stay opportunities,research and collaborations"
China,Shanghai,Donghua University,https://english.dhu.edu.cn/,,"Student and academic and administrative staff exchanges,joint research activities,exchanges of academic materials"
