"","Country","City","Name","Link","Logo","Description","place","lon","lat"
"1","Australia","Sydney","Australian Catholic University","https://www.acu.edu.au/",NA,"Mercy grant, Tamara Myers from History presented a paper and as the incoming president at the Society for the History of Children and Youth 2019 Biennial Confernence","Sydney, Australia",151.2092955,-33.8688197
"2","Australia","Canberra","Australian National University","https://www.anu.edu.au/",NA,NA,"Canberra, Australia",149.1310038,-35.2801903
"3","Australia","Perth","Curtin University","https://www.curtin.edu.au/",NA,"Topological liquid diode publication,student exchange ,research and collaboration","Perth, Australia",115.861309,-31.9523123
"4","Australia","Sydney","Macquarie University","https://www.mq.edu.au/",NA,NA,"Sydney, Australia",151.2092955,-33.8688197
"5","Australia","Melbourne","Monash University","https://www.monash.edu/",NA,NA,"Melbourne, Australia",144.9630576,-37.8136276
"6","Australia","Melbourne","University of Melbourne",NA,NA,NA,"Melbourne, Australia",144.9630576,-37.8136276
"7","Australia","Sydney","University of New South Wales",NA,NA,NA,"Sydney, Australia",151.2092955,-33.8688197
"8","Australia","Newcastle","University of Newcastle",NA,NA,NA,"Newcastle, Australia",151.7816802,-32.9282712
"9","Australia","Brisbane","University of Queensland",NA,NA,NA,"Brisbane, Australia",153.0260341,-27.4704528
"10","Australia","Sydney","University of Sydney",NA,NA,NA,"Sydney, Australia",151.2092955,-33.8688197
"11","Australia","Wollongong","University of Wollongong",NA,NA,NA,"Wollongong, Australia",150.8931132,-34.4248336
"12","Australia","Crawley ","University Western Australia",NA,NA,NA,"Crawley , Australia",115.8213483,-31.9752145
"13","Bangladesh","Dhaka","BRAC University","https://www.bracu.ac.bd/",NA,"exploring effective practice in civil society's organizations,promotion of human rights,social justice ,good governance in India and Bangladesh","Dhaka, Bangladesh",90.4125181,23.810332
"14","Bangladesh",NA,"University of Dahka",NA,NA,NA,"NA, Bangladesh",90.356331,23.684994
"15","Belgium","Leuven","UNIVERSITY COLLEGE LEUVEN",NA,NA,NA,"Leuven, Belgium",4.7137645,50.8822871
"16","Brazil","Curitiba","Federal University of Technology","https://www.futa.edu.ng/",NA,NA,"Curitiba, Brazil",-49.2699727,-25.4372382
"17","Brazil",NA,"Sao Paulo State University","http://www.unesp.br/portal#!/english_home/",NA,NA,"NA, Brazil",-51.92528,-14.235004
"18","Canada","Halifax","Dalhousie University","https://www.dal.ca/",NA,"facullty and staff research from Environmental Ssciences,research publication on the intracontiental drift and surface uplift in Mongolia","Halifax, Canada",-63.1005273,44.8857087
"19","Canada","Edmonton","University of Alberta",NA,NA,NA,"Edmonton, Canada",-113.4937266,53.5460983
"20","Canada","Calgary","University of Calgary",NA,NA,NA,"Calgary, Canada",-114.0718831,51.0447331
"21","Canada","Guelph","University of Guelph",NA,NA,NA,"Guelph, Canada",-80.2481666,43.5448048
"22","Canada","Ottawa","University of Ottawa",NA,NA,NA,"Ottawa, Canada",-75.6971931,45.4215296
"23","Canada","Toronto","University of Toronto",NA,NA,NA,"Toronto, Canada",-79.3831843,43.653226
"24","Canada","Waterloo","University of Waterloo",NA,NA,NA,"Waterloo, Canada",-80.5204096,43.4642578
"25","Canada","London","Western University",NA,NA,NA,"London, Canada",-81.2452768,42.9849233
"26","China","Beijing","Beihang University","https://ev.buaa.edu.cn/",NA,"visiting research and undergraduate scholars in Engineering,2017,2018,2019","Beijing, China",116.407395,39.904211
"27","China","Beijing","Beijing Jiaotong University","http://en.njtu.edu.cn/",NA,"research,on-campus engagement,visiting scholar in mechanical engineering in 2017","Beijing, China",116.407395,39.904211
"28","China","Beijing","Beijing Normal University","https://english.bnu.edu.cn/",NA,"stay opportunities,visits,colaboration,research and events{MOU expired}","Beijing, China",116.407395,39.904211
"29","China","Beijing","Beijing University of Posts and Telecommunications","http://bupt.admissions.cn/",NA,"faculty grant for international conections to China 2017,research collaborations,isiting,staying","Beijing, China",116.407395,39.904211
"30","China","Changsha","Changsha University of Science and Technology","https://www.csust.edu.cn/ywb/Home.htm",NA,NA,"Changsha, China",112.93886,28.2277799
"31","China","Wuhan","China University of Geosciences","https://en.cugb.edu.cn/",NA,"Publication: Critical review on the active site structure of sulfated zirconia catalysts and prospects in fuel production","Wuhan, China",114.30525,30.5927599
"32","China","Shandong Sheng","China University of Petroleum","https://www.cup.edu.cn/english/",NA,"research,recognition,staff travel abroad","Shandong Sheng, China",117.02076,36.6682599
"33","China","Hong Kong","City University of Hong Kong","https://www.cityu.edu.hk/",NA,NA,"Hong Kong, China",114.1693611,22.3193039
"34","China","Dongguan","Dongguan University of Technology","https://www.edu.cn/html/acabridge/jobs/dongguan/index.html",NA,"stay opportunities,research and collaborations","Dongguan, China",113.75179,23.0206699
"35","China","Shanghai","Donghua University","https://english.dhu.edu.cn/",NA,"Student and academic and administrative staff exchanges,joint research activities,exchanges of academic materials","Shanghai, China",121.473701,31.230416
"36","China","Shanghai","East China Normal University","https://english.ecnu.edu.cn/",NA,NA,"Shanghai, China",121.473701,31.230416
"37","China","Shanghai","East China University of Science and Technology","https://www.ecust.edu.cn/en/main.psp",NA,NA,"Shanghai, China",121.473701,31.230416
"38","China","Shanghai","Fudan University","https://www.fudan.edu.cn/en/",NA,NA,"Shanghai, China",121.473701,31.230416
"39","China","Guizhou","Guizhou University","http://www.gzu.edu.cn/en/index.htm",NA,NA,"Guizhou, China",106.70722,26.5981999
"40","China","Haikou","Hainan University","https://en.hainanu.edu.cn/",NA,NA,"Haikou, China",110.19989,20.0442199
"41","China","Hefei","Hefei University of Technology","https://en.hfut.edu.cn/",NA,NA,"Hefei, China",117.22901,31.8205699
"42","China","Harbin","Heilongjiang University","http://en.hljcu.edu.cn/",NA,NA,"Harbin, China",126.6424173,45.7567307
"43","China","Kaifeng","Henan University","http://www.henu.edu.cn/en/",NA,NA,"Kaifeng, China",114.30731,34.7972599
"44","China","Nanjing","Hohai University","https://en.hhu.edu.cn/",NA,NA,"Nanjing, China",118.79647,32.0583799
"45","China",NA,"JiuJiang University","http://english.jju.edu.cn/",NA,NA,"NA, China",104.195397,35.86166
"46","China","Nanjing","Nanjing Normal University","https://www.njnu.edu.cn/english/",NA,NA,"Nanjing, China",118.79647,32.0583799
"47","China","Nanjing","Nanjing University","https://www.nju.edu.cn/en/",NA,NA,"Nanjing, China",118.79647,32.0583799
"48","China","Nanjing","Nanjing University of Aeronautics and Astronautics","http://iao.nuaa.edu.cn/",NA,NA,"Nanjing, China",118.79647,32.0583799
"49","China","Ningbo","Ningbo University of Technology","https://en.nit.net.cn/",NA,NA,"Ningbo, China",121.54399,29.868336
"50","China","Baoding","North China Electric Power University","http://en.ncepu.edu.cn/",NA,NA,"Baoding, China",115.46459,38.8739599
"51","China","Beijing","Peking University","https://english.pku.edu.cn/",NA,NA,"Beijing, China",116.407395,39.904211
"52","China","Beijing","Renmin University of China","https://en.ruc.edu.cn/",NA,NA,"Beijing, China",116.407395,39.904211
"53","China",NA,"School of Economics and Management, Tonji University (SEM)","https://sem.tongji.edu.cn/",NA,NA,"NA, China",104.195397,35.86166
"54","China","Zibo","Shandong University of Technology","https://www.sejong.ac.kr/eng/",NA,NA,"Zibo, China",118.0548,36.8130999
"55","China","Shanghai","Shanghai Jiao Tong University","https://en.sjtu.edu.cn/",NA,NA,"Shanghai, China",121.473701,31.230416
"56","China","Shanghai","Shanghai Maritime University","https://www.shmtu.edu.cn/",NA,NA,"Shanghai, China",121.473701,31.230416
"57","China","Shanghai","Shanghai University of Engineering Science","http://www.sues.edu.cn/english/",NA,NA,"Shanghai, China",121.473701,31.230416
"58","China","Shanghai","Shanghai University of Finance and Economics","https://en.shufe.edu.cn/",NA,NA,"Shanghai, China",121.473701,31.230416
"59","China","Guangzhou","South China Normal University",NA,NA,NA,"Guangzhou, China",113.26436,23.1290799
"60","China","Nanjing","Southeast University",NA,NA,NA,"Nanjing, China",118.79647,32.0583799
"61","China","Tianjin","Tianjin University",NA,NA,NA,"Tianjin, China",117.19937,39.0850999
"62","China","Shanghai","Tongji University",NA,NA,NA,"Shanghai, China",121.473701,31.230416
"63","China","Beijing","Tsinghua University",NA,NA,NA,"Beijing, China",116.407395,39.904211
"64","China","Beijing","University of Science and Technology Beijing",NA,NA,NA,"Beijing, China",116.407395,39.904211
"65","China","Hefei","University of Science and Technology of China (USTC)",NA,NA,NA,"Hefei, China",117.22901,31.8205699
"66","China","Weifang","Weifang Medical University",NA,NA,NA,"Weifang, China",119.16176,36.7068599
"67","China","Wuhan","Wuhan University",NA,NA,NA,"Wuhan, China",114.30525,30.5927599
"68","China","Xi'an","Xi'an University of Architecture and Technology",NA,NA,NA,"Xi'an, China",108.9540936,34.2658138
"69","China","Xi'an, Shaanxi","Xi'an University of Technology",NA,NA,NA,"Xi'an, Shaanxi, China",108.9540936,34.2658138
